Entity Name,Classification,Confidence,Split Entities,Explanation
"Keiraville, NSW",MULTIPLE,HIGH,"Keiraville, NSW","Keiraville is a suburb, and NSW is New South Wales."
"Winsome Board, Ravenshoe Artist",MULTIPLE,HIGH,"Winsome Board, Ravenshoe Artist",These appear to be two distinct entities - a board and an artist.
"The Chairman's Lounge, The Club",MULTIPLE,HIGH,"The Chairman's Lounge, The Club",Likely referring to two different clubs or lounges.
"Lammermoor, Yeppoon QLD",MULTIPLE,HIGH,"Lammermoor, Yeppoon QLD","Lammermoor is likely a suburb or location within Yeppoon, Queensland."
"Griffith, Canberra",MULTIPLE,HIGH,"Griffith, Canberra",Griffith is a suburb of Canberra.
"Thornleigh, NSW",MULTIPLE,HIGH,"Thornleigh, NSW",Thornleigh is a suburb in NSW.
"NAB, Suncorp, Warwick Credit Union, Westpac",MULTIPLE,HIGH,"NAB, Suncorp, Warwick Credit Union, Westpac",These are all separate Australian financial institutions.
"CWA, Bunbury Branch",MULTIPLE,HIGH,"CWA, Bunbury Branch","CWA is likely the Country Women's Association, and Bunbury Branch is a local branch."
"Tura Beach, NSW",MULTIPLE,HIGH,"Tura Beach, NSW",Tura Beach is a location in NSW.
"Bega, NSW",MULTIPLE,HIGH,"Bega, NSW",Bega is a town in NSW.
"Tuscany Apartments, Merimbula",MULTIPLE,HIGH,"Tuscany Apartments, Merimbula",Tuscany Apartments is an accommodation provider in Merimbula.
"Dolans Bay, NSW",MULTIPLE,HIGH,"Dolans Bay, NSW",Dolans Bay is a location in NSW.
"Horizon Church, Sutherland",MULTIPLE,HIGH,"Horizon Church, Sutherland",Horizon Church is a church located in Sutherland.
"Southern Districts Rugby Union Club, Sylvania Waters",MULTIPLE,HIGH,"Southern Districts Rugby Union Club, Sylvania Waters",Southern Districts Rugby Union Club is a sports club located in Sylvania Waters.
"Dr Nguyen Thanh Hung, Vice Chairman Vietjet",MULTIPLE,HIGH,"Dr Nguyen Thanh Hung, Vice Chairman Vietjet","Dr Nguyen Thanh Hung is an individual, and Vice Chairman Vietjet is a position within a company."
"Bishop Epalle Catholic School, Solomon Islands",MULTIPLE,HIGH,"Bishop Epalle Catholic School, Solomon Islands",Bishop Epalle Catholic School is a school located in the Solomon Islands.
"Secretary of State, United States of America",MULTIPLE,HIGH,"Secretary of State, United States of America","Secretary of State is a position, and United States of America is a country."
"HE Gen Prayut Chano-cha, Prime Minister of the Kingdom of Thailand",MULTIPLE,HIGH,"HE Gen Prayut Chano-cha, Prime Minister of the Kingdom of Thailand","HE Gen Prayut Chano-cha is a person, and Prime Minister of the Kingdom of Thailand is a position."
"HE Joko Widodo, President of the Republic of Indonesia",MULTIPLE,HIGH,"HE Joko Widodo, President of the Republic of Indonesia","HE Joko Widodo is a person, and President of the Republic of Indonesia is a position."
"HE Lionel Rouwen Aingimea, President of the Republic of Nauru",MULTIPLE,HIGH,"HE Lionel Rouwen Aingimea, President of the Republic of Nauru","HE Lionel Rouwen Aingimea is a person, and President of the Republic of Nauru is a position."
Australian Parliamentary Sports Association and or Tennis Australia,MULTIPLE,MEDIUM,"Australian Parliamentary Sports Association, Tennis Australia","The 'or' suggests potential ambiguity, but the context leans towards two separate entities."
Breakthrough-Life and TDP Cover,MULTIPLE,MEDIUM,,Requires more context to confirm whether these are two separate entities or products from the same provider.
"Easts (Eastern Suburbs Leagues Club Ltd), Woy Woy",MULTIPLE,MEDIUM,"Easts (Eastern Suburbs Leagues Club Ltd), Woy Woy","Woy Woy is a town; the other is a club.  The relationship isn't clear, but they are separate."
"South Perth, Townhouse; Kingston Apartment",MULTIPLE,MEDIUM,"South Perth, Townhouse; Kingston Apartment",South Perth is a location; the others describe properties.  More context needed for high confidence.
"South Perth, Townhouse; South Perth Townhouse; Victoria Park Townhouse",MULTIPLE,MEDIUM,"South Perth, Townhouse; South Perth Townhouse; Victoria Park Townhouse",Locations and property descriptions. Needs more context for high confidence.
"BROTHERS, Penrith Junior Rugby League Club",MULTIPLE,MEDIUM,"BROTHERS, Penrith Junior Rugby League Club",Could be a team name (Brothers) and their affiliated club.  More context needed for high confidence.
"HE Mr Wataru Takeshita, (Japan)",MULTIPLE,MEDIUM,"HE Mr Wataru Takeshita, (Japan)","While it seems to refer to a single person with his nationality, the lack of clarity makes it ambiguous.  It could also be interpreted as a person from the Japanese government."
"Cammermoor, Yeppoon",MULTIPLE,MEDIUM,"Cammermoor, Yeppoon","While it could be a single location with a compound name, the context suggests two separate places.  However, there is no definitive proof they are not part of one larger entity (e.g., a real estate development spanning both areas)."
"NAB Equity Lending, Homeside Lending",MULTIPLE,MEDIUM,"NAB Equity Lending, Homeside Lending","While both relate to lending, without further information it's unclear if they are separate entities or different divisions under the same parent company.  Context suggests they might be different companies."
B. and Z. Davidson/Mischief Shoes,MULTIPLE,MEDIUM,"B. and Z. Davidson, Mischief Shoes","The context suggests a gift from potentially two distinct entities, a couple (B. and Z. Davidson) and a business (Mischief Shoes). However, it's possible 'Mischief Shoes' is a business owned by the couple."
"Mr Wade Mark, Speaker of Trinidad and Tobago",MULTIPLE,MEDIUM,"Mr Wade Mark, Speaker of Trinidad and Tobago","While 'Trinidad and Tobago' is a single country, the phrasing suggests two separate roles/titles for one person."
Associate member Box Hill/Oakleigh and Carnegie/Clayton RSL,MULTIPLE,MEDIUM,"Associate member Box Hill/Oakleigh, Carnegie/Clayton RSL",Uncertain whether this represents a single RSL with multiple branches or separate entities.  More context is needed.
Hawaiian and Satterley Property Group,MULTIPLE,MEDIUM,"Hawaiian, Satterley Property Group",Ambiguous. Could be a joint venture or two separate entities. More context is needed.
Hinkler House Memorial Museum + Research Assoc. Inc.,MULTIPLE,MEDIUM,"Hinkler House Memorial Museum, Research Assoc. Inc.","The '+' suggests two separate entities, but the context example shows a close relationship.  More information is needed to confirm if they are truly independent organizations."
Jim Bruce Urology + Prostate Trust,MULTIPLE,MEDIUM,"Jim Bruce Urology, Prostate Trust","The '+' suggests separate entities, but the description implies a connection.  Further research is needed to ascertain their independence."
"Akira Amari, Japanese Minister of State for Economic and Fiscal Policy",MULTIPLE,MEDIUM,"Akira Amari, Japanese Minister of State for Economic Policy, Japanese Minister of State for Fiscal Policy","While Akira Amari is a person, the title is complex.  It's ambiguous whether 'Economic and Fiscal Policy' represents two separate roles or aspects of a single role. Leaning towards multiple due to the 'and'."
Goulburn junior rugby and cricket clubs,MULTIPLE,MEDIUM,"Goulburn junior rugby club, Goulburn cricket club","Could be interpreted as two separate clubs or a single club with two sections.  Leaning towards multiple due to context clues, but there's some ambiguity."
PSS /AGEST,MULTIPLE,MEDIUM,"PSS, AGEST","The use of '/' suggests two separate entities, but without further information, it's not definitive."
ESSS / Uni Super,MULTIPLE,MEDIUM,"ESSS, Uni Super","The '/' suggests two separate superannuation entities, but confirmation is needed."
PSS/AGEST,MULTIPLE,MEDIUM,"PSS, AGEST","The use of '/' suggests two separate entities, but without further information, it's not definitive."
"RESERVAR LIBRARS CENTRE, CITY OF DARBIN",MULTIPLE,MEDIUM,"RESERVAR LIBRARS CENTRE, CITY OF DARBIN","Assuming 'RESERVAR LIBRARS CENTRE' is a single entity, though the spelling suggests a typo.  'CITY OF DARBIN' is likely a local government area."
"Bentong, Redgum Club-games",MULTIPLE,MEDIUM,"Bentong, Redgum Club-games","Requires more information to confirm if 'Bentong' is a location or organization, and if 'Redgum Club-games' is a singular entity or multiple.  Context suggests multiple entities."
"CTH, WESTPAC",MULTIPLE,MEDIUM,"CTH, WESTPAC",Assuming CTH is an abbreviation for a known Australian entity (Commonwealth Treasury Holdings etc). Requires more context for HIGH confidence.
"AGRICULTURAL LAND, BUCKLEBOO",MULTIPLE,MEDIUM,"AGRICULTURAL LAND, BUCKLEBOO",Assuming Buckleboo is a location. Needs more information to classify with high confidence.
"The Kimberley Moon, Ord Valley Events",MULTIPLE,MEDIUM,"The Kimberley Moon, Ord Valley Events","Potentially two separate entities, but more context is needed to confirm they aren't related."
"Pepperjack Grenache, Early Development Low Alcohol wine",MULTIPLE,MEDIUM,"Pepperjack Grenache, Early Development Low Alcohol wine","While both are wines, they are from different brands/producers, implying separate entities."
SEE ATTACHMENT 'A' LISTED SHARES AND MANAGED FUNDS,MULTIPLE,MEDIUM,"SEE ATTACHMENT 'A' LISTED SHARES, MANAGED FUNDS","Likely refers to two asset classes, but the phrasing is unclear."
artwork / vehicle,MULTIPLE,MEDIUM,"artwork, vehicle","The use of 'and/or' suggests these could be separate assets listed together, but it's not definitive.  Could be a single category of assets."
P/ASX 200 Listed Property Fund or SPDR S,MULTIPLE,MEDIUM,"P/ASX 200 Listed Property Fund, SPDR S",Uncertain if 'or' implies a single entity or two separate options.  More context needed.
South Coast Regional Chambers of Commerce - Rockingham/Kwinana Chamber of Commerce,MULTIPLE,MEDIUM,"South Coast Regional Chambers of Commerce - Rockingham, Kwinana Chamber of Commerce","Potentially two separate chambers, but the hyphen suggests a possible single organization with branches."
ARC Centre for Excellence for Antimatter/Mitter Research,MULTIPLE,MEDIUM,"ARC Centre for Excellence for Antimatter, Mitter Research","Possibly two separate research entities, but the '/' could indicate a single organization with a compound name or departments."
Copenhagen Investment Partners/Star of South project,MULTIPLE,MEDIUM,"Copenhagen Investment Partners, Star of South project","While the wording suggests a connection,  'Star of South project' could be a project *undertaken by* Copenhagen Investment Partners.  More context is needed for high confidence."
CPSU/CSA,MULTIPLE,MEDIUM,"CPSU, CSA","Likely two separate unions, but requires confirmation.  The '/' might also represent a combined membership."
Global Fund and APLMA,MULTIPLE,MEDIUM,"Global Fund, APLMA",Requires further information to confirm if these are truly distinct entities.  The context suggests they might be.
"Ipswich Motorway Construction Company, Origin Alliance",MULTIPLE,MEDIUM,"Ipswich Motorway Construction Company, Origin Alliance","While it's possible this refers to a single entity with a complex name, it is more likely two separate entities are named.  More context is needed to be completely certain."
"Fighter Pilot, Archerfield Airport",MULTIPLE,MEDIUM,"Fighter Pilot, Archerfield Airport",Could be interpreted as a single offering (adventure flight) or two separate entities.  More context is needed for high confidence.
"OWIA, SAHOF or Governor of Queenwood School",MULTIPLE,MEDIUM,"OWIA, SAHOF, Queenwood School","This seems to list multiple organizations/roles, but the 'or' makes it ambiguous.  More context needed for higher confidence."
"APLMA, Global Fund",MULTIPLE,MEDIUM,"APLMA, Global Fund",Requires more information to confirm if APLMA (likely an acronym for an organization) and the Global Fund are truly separate. Context suggests they are.
"Foxtel, Coffs Harbour EO",MULTIPLE,MEDIUM,"Foxtel, Coffs Harbour EO",Foxtel is a media company; Coffs Harbour EO likely refers to a local government entity. Requires confirmation of the full name of the second entity.
"Olesja, Andrew Laming",MULTIPLE,MEDIUM,"Olesja, Andrew Laming","Requires further information to confirm if 'Olesja' is a person or an organization.  If a person, this is a multiple entry."
Castle Hill RSL District Club and RSL Sub branch,MULTIPLE,MEDIUM,"Castle Hill RSL District Club, RSL Sub branch","While both are related to RSL, the lack of further context makes it difficult to definitively say whether they are separate entities or branches of a larger organization.  More information is needed."
"Australian Institute of Company Directors, CEMEZ, ASU",MULTIPLE,MEDIUM,"Australian Institute of Company Directors, CEMEZ, ASU","While likely separate,  lack of definitive information on CEMEZ and ASU makes high confidence difficult.  They could be departments or related entities."
"Arnold Dallas McPherson, Lawyers Bendigo",MULTIPLE,MEDIUM,"Arnold Dallas McPherson, Lawyers Bendigo","Could be a single law firm with a name indicating location, or two separate entities.  More information is needed."
"North Queensland Cowboys, Rugby League Club",MULTIPLE,MEDIUM,"North Queensland Cowboys, Rugby League Club","North Queensland Cowboys is a specific team; Rugby League Club is a more general term.  Could be referring to the Cowboys as a subset of Rugby League Clubs, or two separate entities. More context needed for higher confidence."
"Directors Griggsy Pty Ltd, Trustee Company",MULTIPLE,MEDIUM,"Directors Griggsy Pty Ltd, Trustee Company","Could be a single company with two descriptions, or two separate entities. More context needed for higher confidence."
"SPY, XME, XLE (MB Turnbull Pty Ltd)",MULTIPLE,MEDIUM,"SPY, XME, XLE (MB Turnbull Pty Ltd)",Likely refers to investment vehicles.  More information is needed to confirm if they are all distinct.
"CACT.SI, CMLT.SI, AEMN.SI (Wilcrow)",MULTIPLE,MEDIUM,"CACT.SI, CMLT.SI, AEMN.SI (Wilcrow)",Likely refers to investment vehicles.  More information is needed to confirm if they are all distinct.
"PPLT.K, XLE (Self)",MULTIPLE,MEDIUM,"PPLT.K, XLE (Self)",Likely refers to investment vehicles.  More information is needed to confirm if they are all distinct.
"Santos Finance Hybrid CPN, Renewable Energy Corp Bond (MB Turnbull Pty Ltd)",MULTIPLE,MEDIUM,"Santos Finance Hybrid CPN, Renewable Energy Corp Bond (MB Turnbull Pty Ltd)","Likely refers to financial instruments, needs further information to confirm distinctness."
"Surf Life Saving Clubs, Service Clubs & Sporting Clubs in Electorate",MULTIPLE,MEDIUM,"Surf Life Saving Clubs, Service Clubs, Sporting Clubs in Electorate","While the name uses 'and' and '&', the context suggests three distinct types of clubs rather than a single organization.  However, it's possible this represents a single umbrella group, making high confidence difficult."
"Grandparent Vic, Business Clubs-Frankston/Mornington/Langwarrin, Frankston & Seaford Vietnam Veterans, Vietnam Veterans Aust America Assoc, Yamaha Park Tennis Club, Richmond Football Club",MULTIPLE,MEDIUM,"Grandparent Vic, Business Clubs-Frankston, Mornington, Langwarrin, Frankston & Seaford Vietnam Veterans, Vietnam Veterans Aust America Assoc, Yamaha Park Tennis Club, Richmond Football Club",The ambiguity around 'Business Clubs-Frankston/Mornington/Langwarrin' lowers confidence. It could be one or multiple clubs.  The others are clearly separate.
